#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.557257    0.600720    0.649671   0.601472  0.016847
9.066667   0.515109    0.556584    0.602043   0.555898  0.012568
9.133333   0.478928    0.521434    0.565435   0.522123  0.010620
9.200000   0.439057    0.480879    0.530008   0.487942  0.009675
9.266667   0.397436    0.441513    0.497973   0.449893  0.009277
9.333333   0.356363    0.403319    0.459310   0.409810  0.009254
9.400000   0.314739    0.363143    0.417378   0.368846  0.008495
9.466667   0.274567    0.330410    0.386815   0.334873  0.008082
9.533333   0.247193    0.305222    0.366743   0.309784  0.009039
9.600000   0.206010    0.265344    0.326984   0.270362  0.007970
9.666667   0.182984    0.243109    0.309325   0.248830  0.008530
9.733333   0.159234    0.221604    0.285392   0.226138  0.008088
9.800000   0.130391    0.191585    0.256227   0.199358  0.007501
9.866667   0.115536    0.170799    0.228679   0.176823  0.006077
9.933333   0.104751    0.152943    0.207929   0.158688  0.004454
10.000000   0.083654    0.123787    0.174496   0.134777  0.004095
10.066667   0.080729    0.120576    0.162535   0.128049  0.003268
10.133333   0.075300    0.100143    0.135441   0.110714  0.002270
10.200000   0.071823    0.089076    0.123685   0.103527  0.002452
10.266667   0.062666    0.087590    0.115947   0.095481  0.001651
10.333333   0.061122    0.075491    0.112588   0.091904  0.001722
10.400000   0.061081    0.076107    0.100375   0.085386  0.000943
10.466667   0.056336    0.072285    0.096849   0.081537  0.000879
10.533333   0.060887    0.072567    0.085655   0.082747  0.001320
10.600000   0.058420    0.078896    0.095471   0.082448  0.000865
10.666667   0.054125    0.058120    0.065545   0.064672  0.000273
10.733333   0.071907    0.082472    0.104697   0.088313  0.000688
10.800000   0.062858    0.068406    0.075661   0.074579  0.000652
10.866667   0.054704    0.056660    0.062030   0.058937  0.000058
10.933333   0.000000    0.000000    0.000000   0.000000  0.000000
11.000000   0.000000    0.000000    0.000000   0.000000  0.000000
