#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.366209    0.440970    0.499936   0.422431  0.013976
9.600000   0.294013    0.366481    0.440013   0.361849  0.013137
9.700000   0.227105    0.310091    0.386291   0.303938  0.014004
9.800000   0.152547    0.242288    0.330254   0.243498  0.014408
9.900000   0.107320    0.183473    0.273294   0.193559  0.012260
10.000000   0.072688    0.139710    0.225403   0.154846  0.010411
10.100000   0.046319    0.096543    0.170404   0.115982  0.007759
10.200000   0.028521    0.061280    0.115305   0.079686  0.004580
10.300000   0.014847    0.035351    0.078988   0.054743  0.003023
10.400000   0.010897    0.026081    0.060816   0.043296  0.002214
10.500000   0.009119    0.023445    0.055391   0.041016  0.002211
10.600000   0.008560    0.022668    0.048339   0.036055  0.001732
10.700000   0.006542    0.019530    0.042611   0.030134  0.001067
10.800000   0.005086    0.013887    0.033396   0.025169  0.000864
10.900000   0.004739    0.014358    0.026035   0.019471  0.000380
11.000000   0.004845    0.010165    0.021789   0.016626  0.000347
11.100000   0.002807    0.005034    0.010492   0.008138  0.000072
11.200000   0.002080    0.003838    0.005566   0.004816  0.000015
11.300000   0.002311    0.003290    0.004405   0.003567  0.000002
11.400000   0.002399    0.002908    0.005849   0.005340  0.000037
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
