#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.669830    0.932898    0.990067   0.828715  0.037937
-21.533333   0.663229    0.878298    0.990168   0.813165  0.040347
-21.066667   0.626656    0.852525    0.977806   0.790538  0.044534
-20.600000   0.514897    0.659288    0.885524   0.687650  0.042217
-20.133333   0.501775    0.618905    0.804987   0.655665  0.036143
-19.666667   0.479234    0.558501    0.723200   0.608955  0.030751
-19.200000   0.492083    0.553054    0.662578   0.580884  0.021274
-18.733333   0.502464    0.579976    0.673508   0.580810  0.023022
-18.266667   0.463471    0.598173    0.691704   0.562824  0.035238
-17.800000   0.361647    0.556073    0.703663   0.501963  0.060559
-17.333333   0.105614    0.461190    0.643820   0.401505  0.077455
