#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   129.767774    129.767774    129.767774   129.767774  -nan
-20.666667   114.807538    116.136455    122.229958   119.312845  62.659406
-20.333333   103.115821    104.177603    105.239386   104.177603  9.019057
-20.000000   103.021717    104.621466    106.424265   104.824516  4.958683
-19.666667   92.815102    94.408788    95.756290   94.451310  25.917600
-19.333333   86.772295    88.248786    92.568349   90.019413  39.225253
-19.000000   78.236324    83.029031    85.666933   83.409654  50.458908
-18.666667   73.586795    80.637997    85.894326   80.879031  65.295828
-18.333333   69.709875    72.688827    78.705848   74.425182  44.255128
-18.000000   69.461122    72.614492    78.483230   73.801893  50.055610
