#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.648182    0.687615    0.722833   0.679726  0.005237
9.066667   0.629853    0.669419    0.705541   0.659646  0.006364
9.133333   0.601132    0.643850    0.679746   0.632828  0.007577
9.200000   0.582099    0.622237    0.659246   0.611907  0.006458
9.266667   0.547439    0.591391    0.630145   0.579995  0.008560
9.333333   0.522664    0.566281    0.602705   0.553977  0.006603
9.400000   0.500268    0.544238    0.588019   0.537881  0.005943
9.466667   0.463762    0.513396    0.559206   0.501648  0.007644
9.533333   0.427619    0.482159    0.528460   0.471216  0.009025
9.600000   0.399680    0.448768    0.490669   0.441977  0.006422
9.666667   0.391124    0.433107    0.478204   0.427407  0.005984
9.733333   0.358455    0.409644    0.451561   0.400894  0.007128
9.800000   0.314088    0.372103    0.423710   0.367158  0.006747
9.866667   0.289249    0.340110    0.399304   0.339544  0.007774
9.933333   0.256058    0.313737    0.364041   0.308631  0.007673
10.000000   0.224801    0.284373    0.344489   0.283710  0.007893
10.066667   0.192708    0.246273    0.298893   0.250698  0.007261
10.133333   0.151101    0.220435    0.287924   0.221249  0.008876
10.200000   0.145493    0.192675    0.250894   0.201616  0.005934
10.266667   0.120805    0.168301    0.215410   0.173849  0.005195
10.333333   0.103089    0.149181    0.205595   0.158201  0.005225
10.400000   0.092757    0.140911    0.191060   0.148850  0.004790
10.466667   0.089431    0.123787    0.171579   0.139434  0.004576
10.533333   0.083638    0.103305    0.143245   0.119754  0.003023
10.600000   0.069828    0.092088    0.118836   0.102944  0.002195
10.666667   0.067561    0.090623    0.109747   0.096927  0.001525
10.733333   0.068434    0.090369    0.127768   0.101767  0.001847
10.800000   0.053985    0.062136    0.092262   0.080560  0.001728
10.866667   0.069977    0.076120    0.100659   0.085413  0.000398
10.933333   0.054364    0.055250    0.059001   0.058114  0.000065
11.000000   0.000000    0.000000    0.000000   0.000000  0.000000
