#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   164.545564    164.545564    164.545564   164.545564  -nan
-21.333333   142.279493    144.719158    147.158823   144.719158  47.615714
-21.000000   133.329185    139.074144    144.960726   139.215767  48.618666
-20.666667   116.610139    118.991520    123.122166   119.584467  19.716082
-20.333333   107.072371    109.928796    112.230848   110.607032  26.709783
-20.000000   98.015695    100.410154    103.752101   101.046756  20.255038
-19.666667   89.441243    91.832186    94.497838   91.965901  10.104332
-19.333333   81.494675    83.486807    85.736730   83.807380  10.914149
-19.000000   75.129167    76.781405    78.787995   77.214842  14.235809
-18.666667   69.539076    70.906405    72.615785   71.336790  8.915579
-18.333333   64.858989    66.241624    67.622001   66.704239  14.179339
-18.000000   60.809984    62.059858    63.471882   62.747925  16.877628
