#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.490189    0.642996    0.882132   0.675634  0.050487
-21.533333   0.486967    0.684473    0.977296   0.707715  0.057397
-21.066667   0.483256    0.629015    0.867019   0.669472  0.051530
-20.600000   0.445487    0.555501    0.706878   0.593063  0.037403
-20.133333   0.409995    0.485388    0.630786   0.532755  0.029634
-19.666667   0.411919    0.463195    0.538299   0.488825  0.017162
-19.200000   0.415472    0.463141    0.525246   0.475647  0.012150
-18.733333   0.403892    0.447832    0.514753   0.459634  0.011004
-18.266667   0.368466    0.422445    0.481647   0.428097  0.009504
-17.800000   0.353015    0.395483    0.448889   0.407068  0.008949
-17.333333   0.359684    0.387384    0.423333   0.393738  0.008293
