#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
44509671.9146679    60713700.9882432   6149042.31953855    12247356.0153691
160876094.772675    262259342.825051   43669807.039113    106038117.413767
102727553.338945    117407271.702379   56929212.6785722    128682386.064571
138892786.546222    186630177.946842   17905713.3498318    38452592.7623598
86982590.3713633    121670842.778003   17318371.8981081    37366006.1151315
35102287.733657    47330261.645914   15976186.2493089    33281275.9341929
48468450.5544523    120402810.094783   30314376.7787285    73205894.9688687
111151268.364773    170358771.921723   16835221.5829116    36808471.1368465
30413694.8065116    52996083.6467231   6822804.09812537    14902368.8077425
120044766.187992    207949886.525515   39073631.4239644    96852796.4130824
10427542.2648906    10395920.2733611   45290026.7048574    89955207.2780314
134351341.690589    192371729.054915   32417615.8588375    71823684.0232203
22427545.1190454    28188054.9579473   353826.28444737    588614.467321343
40766498.0671823    104715683.018636   29463105.6097841    72772537.1600294
43929972.0751309    56202829.355489   7077845.3132889    14689357.2044337
72605473.3839365    106722231.719605   25063965.5541063    55944887.4199662
25439773.5263194    39726055.6252046   4424980.26672854    9305836.76535402
149688757.398606    227726497.180349   28045284.664989    72112228.6971199
159174573.540056    258584782.267888   39159227.1175623    94572548.675446
104714558.596742    162063885.650194   18182352.0632179    40651183.1735434
10327905.1903481    15003199.9339433   1605590.08014062    3067393.25203319
163322499.617417    226997701.208274   28300999.5363591    61197718.8844233
183006841.721365    309750855.287496   41418281.3173176    99935537.1615714
140468254.722184    229542285.966389   35419198.8678669    87024984.3743763
47137473.1763422    118174310.173144   30964714.3711998    77035547.0381611
30406528.2467434    42068454.0196568   6134936.16499977    11213094.2591735
177088315.162796    269715656.453316   40296428.1906154    95841063.5049916
84959.0776308495    77031.5308649336   66433692.4135686    99049588.9454945
0    0   0    0
319352090.500277    427092023.590527   63915958.3345039    142623828.529823
65325616.5050098    110244784.088371   13746258.9883447    31144651.6795949
54540787.2797246    74853622.5216966   6496290.72809311    13221640.1551266
101887512.399258    152051942.137933   13502540.1105526    28899223.5266811
84291990.1446086    170844484.505007   36890278.670815    93229177.5472515
18860076.6713104    20065970.2858106   2047470.55585836    3751030.86619987
69567450.4819716    93858669.255118   13221805.8447466    23164557.3867066
48803981.196048    49958918.6643397   28287597.4217505    56545930.6705692
2888801.36885794    2351572.43786935   64821061.2707076    104758564.657277
62420079.9561896    81448602.9864353   16384608.584464    34393811.5910786
35992673.7579979    47135356.6241297   11212259.6908692    18650875.7339461
82554270.9252566    109895694.615522   11195943.8474837    24034091.6464326
57628913.4342451    124048882.660068   27623802.5117993    69915894.8357653
98774759.1485891    188255361.831251   35440769.866129    86780923.3403181
33462238.9982328    49991519.5928785   4715628.06238759    9633770.68439417
89403599.8647911    156542020.891318   26149975.318994    63489302.1022325
85761645.2817182    174315182.429852   37100113.0638245    90713288.7011338
26068796.5215636    38044010.062427   3096017.83421177    6276065.81687163
22324301.4676439    39357795.3306507   27448194.2582521    62376965.2673806
