#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.500000   0.437236    0.490136    0.537917   0.476431  0.010262
9.600000   0.395147    0.442634    0.487649   0.430146  0.009337
9.700000   0.364213    0.417632    0.458177   0.406148  0.007808
9.800000   0.312113    0.367974    0.418244   0.360051  0.007581
9.900000   0.261441    0.316905    0.367599   0.308482  0.009472
10.000000   0.214806    0.268448    0.334789   0.268625  0.009592
10.100000   0.154699    0.220928    0.285133   0.220259  0.009160
10.200000   0.119301    0.174383    0.231410   0.173729  0.008001
10.300000   0.036283    0.117636    0.176159   0.119879  0.007909
10.400000   0.014832    0.065818    0.150560   0.090479  0.007285
10.500000   0.007061    0.030578    0.096997   0.059285  0.004222
10.600000   0.004388    0.017397    0.051747   0.035375  0.001993
10.700000   0.003325    0.009240    0.028870   0.025192  0.001446
10.800000   0.002735    0.005496    0.014267   0.016065  0.000699
10.900000   0.002229    0.005488    0.016588   0.012182  0.000259
11.000000   0.001657    0.003405    0.010594   0.008225  0.000102
11.100000   0.001705    0.003047    0.007340   0.006878  0.000093
11.200000   0.001813    0.002153    0.002212   0.002393  0.000001
11.300000   0.002573    0.002573    0.002573   0.002573  -nan
11.400000   0.000000    0.000000    0.000000   0.000000  0.000000
11.500000   0.000000    0.000000    0.000000   0.000000  0.000000
