#1.haloMass   #2.quartil1   #3.median   #4.quartil3   #5.mean  #6.sigma2
9.000000   0.660848    0.708319    0.750437   0.693463  0.012287
9.066667   0.645123    0.684929    0.719748   0.672951  0.009336
9.133333   0.616387    0.660665    0.693923   0.653358  0.008182
9.200000   0.588483    0.624869    0.664873   0.618895  0.007957
9.266667   0.542141    0.586544    0.634135   0.579290  0.009777
9.333333   0.495340    0.549787    0.600815   0.543900  0.008667
9.400000   0.453027    0.510234    0.560796   0.503614  0.009375
9.466667   0.412850    0.468718    0.527394   0.467623  0.009045
9.533333   0.354278    0.424327    0.494374   0.423642  0.011245
9.600000   0.310351    0.384427    0.462158   0.386779  0.011284
9.666667   0.267800    0.340894    0.419060   0.343850  0.011433
9.733333   0.219789    0.295895    0.385059   0.303784  0.012670
9.800000   0.179779    0.255652    0.345332   0.265194  0.012429
9.866667   0.149599    0.226089    0.310291   0.232510  0.010787
9.933333   0.130749    0.200372    0.280630   0.210559  0.009534
10.000000   0.108744    0.176946    0.258567   0.192387  0.010027
10.066667   0.093816    0.146524    0.213353   0.162145  0.006912
10.133333   0.082020    0.128973    0.178017   0.142421  0.005613
10.200000   0.071223    0.105323    0.156051   0.123089  0.004543
10.266667   0.067486    0.093876    0.140063   0.114803  0.004050
10.333333   0.069056    0.091433    0.140355   0.111881  0.003675
10.400000   0.065796    0.096898    0.128157   0.105755  0.002614
10.466667   0.070127    0.098070    0.125133   0.111404  0.003589
10.533333   0.059662    0.082106    0.126804   0.098024  0.002128
10.600000   0.060814    0.090642    0.124780   0.096992  0.001632
10.666667   0.060607    0.085367    0.108302   0.091123  0.001230
10.733333   0.058752    0.074082    0.084762   0.080049  0.000855
10.800000   0.063411    0.086120    0.111324   0.091440  0.001644
10.866667   0.056175    0.060788    0.078910   0.069462  0.000372
10.933333   0.078575    0.083105    0.087636   0.083105  0.000164
11.000000   0.068070    0.079293    0.087887   0.076663  0.000190
