#1.mag_r   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-22.000000   0.563118    0.940707    0.996326   0.794651  0.056222
-21.533333   0.584550    0.940925    1.001545   0.802792  0.053769
-21.066667   0.551489    0.844173    0.995011   0.775400  0.054421
-20.600000   0.496269    0.615950    0.907952   0.675740  0.047012
-20.133333   0.493838    0.592838    0.781600   0.647460  0.039883
-19.666667   0.473124    0.543848    0.682478   0.594251  0.033206
-19.200000   0.453357    0.528427    0.604646   0.538747  0.021197
-18.733333   0.397748    0.496193    0.600564   0.504589  0.020719
-18.266667   0.375499    0.443312    0.583999   0.470059  0.024154
-17.800000   0.336266    0.434502    0.549539   0.432218  0.031968
-17.333333   0.242206    0.410691    0.535304   0.388216  0.041124
