#1.mag_i   #2.quartil1   #3.median   #4.quartil3    #5.mean    #6.sigma2
-23.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-22.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-22.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-22.000000   0.000000    0.000000    0.000000   0.000000  0.000000
-21.666667   0.000000    0.000000    0.000000   0.000000  0.000000
-21.333333   0.000000    0.000000    0.000000   0.000000  0.000000
-21.000000   127.109239    127.109239    127.109239   127.109239  -nan
-20.666667   119.247722    126.272714    127.499206   122.407047  79.294536
-20.333333   108.356854    110.289941    113.867832   111.350463  17.082076
-20.000000   101.079897    103.056929    105.413081   103.541562  21.418967
-19.666667   91.306832    95.111347    98.963655   95.142005  31.412373
-19.333333   83.263146    85.670649    91.193484   87.498737  32.349460
-19.000000   79.161467    81.855209    85.857920   82.823970  35.958941
-18.666667   72.837963    76.568936    84.417351   79.372298  64.617817
-18.333333   68.910343    73.237606    79.744429   74.951116  54.552596
-18.000000   65.715430    69.309588    76.745171   71.083030  54.791735
